Model,MAE,RMSE,R2
Lasso,0.7157929730698052,1.2069399663032476,0.9897039455103211
Linear,0.6893300503651194,1.2144623223466449,0.9895752034874005
Ridge,0.7206025644740556,1.2710409223934405,0.9885812500803017
DecisionTree,8.375939098566628,14.196692984501121,-0.4245374661586343
GradientBoosting,8.341950782256134,14.276361652421324,-0.4405706994651317
KNN,8.610348720206527,14.411894983082458,-0.46805278983182896
RandomForest,8.776929971363494,14.510620849021603,-0.48823489728867475
SVR,11.945725226863996,18.06923751994678,-1.3076989288242094
